"user_id","num_clicks","num_sessions","avg_session_duration","avg_bags","age","gender","married","has_children","home_country","home_city","home_airport","num_trips","num_flights","money_spent_hotel","time_after_booking","avg_km_flown","customer_group","perk"
"23557","82","8","76.6250000000000000","","66","F","true","false","usa","new york","LGA","2","0","3670.50","0","0","Senior travellers","10% discount on next booking"
"94883","73","8","67.7500000000000000","0.50000000000000000000","53","F","true","false","usa","kansas city","MCI","2","4","130","6.5000000000000000","1451.335403701944","Dreamers","15% on Group Booking Discount on hotels and flights"
"101486","131","8","122.2500000000000000","0.00000000000000000000","52","F","true","true","usa","tacoma","TCM","2","2","2199","9.0000000000000000","995.681599782712","Family Traveller","Family Suite Discount"
"101961","126","8","117.7500000000000000","0.40000000000000000000","44","F","true","false","usa","boston","BOS","5","10","2429","5.6000000000000000","1366.5690966548455","Young adult frequent travellers","Free WiFi "
"106907","240","8","758.9150661250000000","5.0000000000000000","46","F","true","true","usa","miami","TNT","0","0","0","0","0","Family Traveller","Family Suite Discount"
"118043","164","8","153.1250000000000000","1.00000000000000000000","52","F","false","true","usa","los angeles","LAX","5","6","5616.45","8.6666666666666667","2505.1651664071746","Family Traveller","Family Suite Discount"
"120851","55","8","51.7500000000000000","0.00000000000000000000","52","F","true","true","usa","santa ana","SNA","1","2","2002","7.0000000000000000","2259.7966681958487","Family Traveller","Family Suite Discount"
"125845","159","9","131.7777777777777778","0.66666666666666666667","41","F","true","false","usa","el paso","BIF","3","6","689","8.3333333333333333","2861.519128720754","Young adult frequent travellers","Free WiFi "
"133058","73","8","68.1250000000000000","0.00000000000000000000","20","F","false","false","usa","austin","AUS","1","2","0","6.0000000000000000","2887.178515652686","Dreamers","15% on Group Booking Discount on hotels and flights"
"149058","142","8","131.7500000000000000","0.40000000000000000000","52","F","false","true","usa","birmingham","BHM","5","10","5373","5.8000000000000000","1959.872031578899","Family Traveller","Family Suite Discount"
"152583","149","8","139.0000000000000000","2.0000000000000000","38","F","false","false","usa","colorado springs","COS","1","2","426","8.0000000000000000","2265.716295635522","Dreamers","15% on Group Booking Discount on hotels and flights"
"153982","150","8","138.5000000000000000","0.33333333333333333333","46","F","false","true","canada","toronto","YKZ","3","6","681","8.6666666666666667","1343.6251935624966","Family Traveller","Family Suite Discount"
"160754","86","8","80.8750000000000000","1.00000000000000000000","47","F","true","true","usa","new york","LGA","1","2","428","11.0000000000000000","527.63183389388","Family Traveller","Family Suite Discount"
"164522","89","8","83.3750000000000000","1.00000000000000000000","49","F","true","false","usa","kansas city","MCI","1","2","3029","8.0000000000000000","1807.646503324766","Dreamers","15% on Group Booking Discount on hotels and flights"
"167852","63","8","58.0000000000000000","","19","F","false","false","usa","tampa","MCF","0","0","0","0","0","Dreamers","15% on Group Booking Discount on hotels and flights"
"171470","446","8","1842.5000000000000000","0.33333333333333333333","25","F","false","false","usa","atlanta","ATL","0","0","0","0","0","Dreamers","15% on Group Booking Discount on hotels and flights"
"174997","252","8","991.7500000000000000","0.33333333333333333333","33","F","false","false","usa","grand rapids","GRR","2","4","448","7.5000000000000000","1538.2757842488543","Dreamers","15% on Group Booking Discount on hotels and flights"
"175032","127","9","104.3333333333333333","0.50000000000000000000","30","F","false","false","usa","houston","IAH","3","4","3243.60","5.5000000000000000","1394.5441345457552","Young adult frequent travellers","Free WiFi "
"181157","153","8","141.1250000000000000","1.00000000000000000000","54","F","true","false","usa","houston","HOU","3","6","4987.80","5.3333333333333333","1213.4574843739658","Young adult frequent travellers","Free WiFi "
"182191","148","8","665.7879690000000000","1.00000000000000000000","20","F","false","true","usa","phoenix","PHX","0","0","0","0","0","Family Traveller","Family Suite Discount"
"187212","128","8","118.7500000000000000","0.66666666666666666667","56","F","true","true","usa","los angeles","LAX","3","6","904","8.0000000000000000","2465.5571878273126","Family Traveller","Family Suite Discount"
"189676","93","8","86.3750000000000000","2.0000000000000000","37","F","false","true","usa","fort worth","FTW","2","2","5001","4.0000000000000000","2350.536145550067","Family Traveller","Family Suite Discount"
"190866","186","9","153.8888888888888889","0.40000000000000000000","38","F","false","false","usa","tallahassee","TLH","5","10","1359","7.2000000000000000","2423.7357077809347","Young adult frequent travellers","Free WiFi "
"195192","225","8","208.3750000000000000","0.00000000000000000000","29","F","false","false","usa","chicago","MDW","1","2","320","15.0000000000000000","1165.5097458688963","Dreamers","15% on Group Booking Discount on hotels and flights"
"204943","292","8","1043.5000000000000000","1.2857142857142857","42","M","false","false","canada","ottawa","YOW","5","10","3820","8.0000000000000000","1571.027917851075","Young adult frequent travellers","Free WiFi "
"204997","439","8","1399.1779502500000000","0.60000000000000000000","39","F","true","false","usa","kansas city","MCI","2","4","284","7.0000000000000000","1281.5059324606702","Dreamers","15% on Group Booking Discount on hotels and flights"
"205044","134","9","110.3333333333333333","0.33333333333333333333","41","F","true","true","canada","toronto","YKZ","3","6","5642","6.0000000000000000","2396.839006142841","Family Traveller","Family Suite Discount"
"206011","156","8","146.1250000000000000","0.25000000000000000000","40","F","false","true","usa","kansas city","MCI","4","8","1055","5.5000000000000000","1452.0613504500784","Family Traveller","Family Suite Discount"
"216796","125","8","491.3284420000000000","2.0000000000000000","23","F","false","false","usa","cincinnati","CVG","0","0","0","0","0","Dreamers","15% on Group Booking Discount on hotels and flights"
"217114","59","9","49.8888888888888889","","20","O","true","true","usa","long beach","LGB","0","0","0","0","0","Family Traveller","Family Suite Discount"
"217136","106","8","99.3750000000000000","0.00000000000000000000","39","F","false","true","usa","little rock","LIT","2","2","659","7.0000000000000000","3095.3404436795545","Family Traveller","Family Suite Discount"
"220725","316","9","948.8888888888888889","0.20000000000000000000","41","F","false","false","usa","stockton","SCK","3","6","962","5.0000000000000000","3128.076980234809","Young adult frequent travellers","Free WiFi "
"224996","102","8","94.6250000000000000","0.00000000000000000000","44","F","false","true","canada","halifax","YHZ","2","4","0","8.0000000000000000","2488.128262846516","Family Traveller","Family Suite Discount"
"226367","114","8","105.5000000000000000","0.66666666666666666667","44","F","false","false","usa","washington","IAD","3","6","1864","7.0000000000000000","1633.1960227085976","Young adult frequent travellers","Free WiFi "
"228195","116","9","95.7777777777777778","","28","F","false","true","usa","los angeles","LAX","0","0","0","0","0","Family Traveller","Family Suite Discount"
"228872","126","8","118.0000000000000000","1.00000000000000000000","36","M","false","false","usa","san antonio","RND","2","2","1288","5.0000000000000000","2953.6730397354886","Dreamers","15% on Group Booking Discount on hotels and flights"
"229009","144","8","264.7854292500000000","0.25000000000000000000","18","F","false","false","usa","stockton","SCK","2","4","474","8.5000000000000000","3028.73236214432","Dreamers","15% on Group Booking Discount on hotels and flights"
"229108","321","8","1012.2500000000000000","0.00000000000000000000","26","F","false","false","usa","burlington","BTV","0","0","0","0","0","Dreamers","15% on Group Booking Discount on hotels and flights"
"229330","129","8","119.6250000000000000","0.25000000000000000000","48","F","true","false","usa","colorado springs","COS","4","8","3193","7.2500000000000000","1175.6900050298536","Young adult frequent travellers","Free WiFi "
